game_pk,game_date,season,home_team,away_team,home_runs_scored,away_runs_scored,total_runs,home_runs_hit,strikeouts,walks,hits,total_pitches,avg_exit_velocity,n_barrels,n_bbe,barrel_rate,hr_h_ratio,game_start_utc
413664,2015-04-07,2015,SEA,LAA,0,2,2,1,12,2,7,234,91.4,3,49,0.0612,0.1429,2015-04-08T02:10:00Z
413665,2015-04-07,2015,MIA,ATL,2,12,14,0,15,12,19,339,87.3,2,54,0.037,0.0,2015-04-07T23:10:00Z
413666,2015-04-07,2015,TB,BAL,5,6,11,3,16,10,11,327,89.3,4,46,0.087,0.2727,2015-04-07T23:10:00Z
413667,2015-04-07,2015,MIL,COL,2,5,7,0,13,3,18,262,88.9,0,57,0.0,0.0,2015-04-08T00:10:00Z
413668,2015-04-07,2015,LAD,SD,3,7,10,1,16,6,18,309,88.5,1,57,0.0175,0.0556,2015-04-08T02:10:00Z
413669,2015-04-07,2015,AZ,SF,7,6,13,4,15,8,18,293,87.7,5,52,0.0962,0.2222,2015-04-08T01:40:00Z
413670,2015-04-07,2015,ATH,TEX,1,3,4,0,13,3,13,260,85.3,1,51,0.0196,0.0,2015-04-08T02:05:00Z
413671,2015-04-08,2015,SEA,LAA,3,5,8,3,16,3,19,264,88.5,5,55,0.0909,0.1579,2015-04-09T02:10:00Z
413672,2015-04-08,2015,MIA,ATL,0,2,2,1,14,5,12,278,85.8,0,48,0.0,0.0833,2015-04-08T23:10:00Z
413673,2015-04-08,2015,TB,BAL,2,0,2,0,20,9,8,293,86.5,0,34,0.0,0.0,2015-04-08T23:10:00Z
413674,2015-04-08,2015,PHI,BOS,4,2,6,1,17,6,9,292,85.3,1,45,0.0222,0.1111,2015-04-08T23:05:00Z
